Signal Legend:

Key        Signal Name

0        = values_out
1        = sbox_out
2        = counter_test
3        = test_out
4        = done_out

Data Table:

Signals-> 0        1   2   3 4 

sample

459       8168316  12h 0   0 1 
460       8168316  12h 0   0 1 
461       8168316  12h 0   0 1 
462       8168316  12h 0   0 1 
463       8168316  12h 0   0 1 
464       8168316  12h 0   0 1 
465       8168316  12h 0   0 1 
466       8168316  12h 0   0 1 
467       8168316  12h 0   0 1 
468       8168316  12h 0   0 1 
469       8168316  12h 0   0 1 
470       8168316  12h 0   0 1 
471       8168316  12h 0   0 1 
472       8168316  12h 0   0 1 
473       8168316  12h 0   0 1 
474       8168316  12h 0   0 1 
475       8168316  12h 0   0 1 
476       8168316  12h 0   0 1 
477       8168316  12h 0   0 1 
478       8168316  12h 0   0 1 
479       8168316  12h 0   0 1 
480       8168316  12h 0   0 1 
481       8168316  12h 0   0 1 
482       8168316  12h 0   0 1 
483       8168316  12h 0   0 1 
484       8168316  12h 0   0 1 
485       8168316  12h 0   0 1 
486       8168316  12h 0   0 1 
487       8168316  12h 0   0 1 
488       8168316  12h 0   0 1 
489       8168316  12h 0   0 1 
490       8168316  12h 0   0 1 
491       8168316  12h 0   0 1 
492       8168316  12h 0   0 1 
493       8168316  12h 0   0 1 
494       8168316  12h 0   0 1 
495       8168316  12h 0   0 1 
496       8168316  12h 0   0 1 
497       8168316  12h 0   0 1 
498       8168316  12h 0   0 1 
499       8168316  12h 0   0 1 
500       8168316  12h 0   0 1 
501       8168316  12h 0   0 1 
502       8168316  12h 0   0 1 
503       8168316  12h 0   0 1 
504       8168316  12h 0   0 1 
505       8168316  12h 0   0 1 
506       8168316  12h 0   0 1 
507       8168316  12h 0   0 1 
508       8168316  12h 0   0 1 
509       8168316  12h 0   0 1 
510       8168316  12h 0   0 1 
511       8168316  12h 0   0 1 
512       8168316  12h 0   0 1 
513       8168316  12h 0   0 1 
514       8168316  12h 0   0 1 
515       8168316  12h 0   0 1 
516       8168316  12h 0   0 1 
517       8168316  12h 0   0 1 
518       8168316  12h 0   0 1 
519       8168316  12h 0   0 1 
520       8168316  12h 0   0 1 
521       8168316  12h 0   0 1 
522       8168316  12h 0   0 1 
