Signal Legend:

Key        Signal Name

0        = sbox_out
1        = values_out
2        = counter_test
3        = test_out
4        = done_out

Data Table:

Signals-> 0   1        2   3 4 

sample

510       139 8184696  0   1 1 
511       139 8184696  0   1 1 
512       139 8184696  0   1 1 
513       139 8184696  0   1 1 
514       139 8184696  0   1 1 
515       139 8184696  0   1 1 
516       139 8184696  0   1 1 
517       139 8184696  0   1 1 
518       139 8184696  0   1 1 
519       139 8184696  0   1 1 
520       139 8184696  0   1 1 
521       139 8184696  0   1 1 
522       139 8184696  0   1 1 
523       139 8184696  0   1 1 
524       139 8184696  0   1 1 
525       139 8184696  0   1 1 
526       139 8184696  0   1 1 
527       139 8184696  0   1 1 
528       139 8184696  0   1 1 
529       139 8184696  0   1 1 
530       139 8184696  0   1 1 
531       139 8184696  0   1 1 
532       139 8184696  0   1 1 
533       139 8184696  0   1 1 
534       139 8184696  0   1 1 
535       139 8184696  0   1 1 
536       139 8184696  0   1 1 
537       139 8184696  0   1 1 
538       139 8184696  0   1 1 
539       139 8184696  0   1 1 
540       139 8184696  0   1 1 
541       139 8184696  0   1 1 
542       139 8184696  0   1 1 
543       139 8184696  0   1 1 
544       139 8184696  0   1 1 
545       139 8184696  0   1 1 
546       139 8184696  0   1 1 
547       139 8184696  0   1 1 
548       139 8184696  0   1 1 
549       139 8184696  0   1 1 
550       139 8184696  0   1 1 
551       139 8184696  0   1 1 
552       139 8184696  0   1 1 
553       139 8184696  0   1 1 
554       139 8184696  0   1 1 
555       139 8184696  0   1 1 
556       139 8184696  0   1 1 
557       139 8184696  0   1 1 
558       139 8184696  0   1 1 
559       139 8184696  0   1 1 
560       139 8184696  0   1 1 
561       139 8184696  0   1 1 
562       139 8184696  0   1 1 
563       139 8184696  0   1 1 
564       139 8184696  0   1 1 
565       139 8184696  0   1 1 
566       139 8184696  0   1 1 
567       139 8184696  0   1 1 
568       139 8184696  0   1 1 
569       139 8184696  0   1 1 
570       139 8184696  0   1 1 
571       139 8184696  0   1 1 
572       139 8184696  0   1 1 
573       139 8184696  0   1 1 
574       139 8184696  0   1 1 
575       139 8184696  0   1 1 
576       139 8184696  0   1 1 
577       139 8184696  0   1 1 
578       139 8184696  0   1 1 
579       139 8184696  0   1 1 
580       139 8184696  0   1 1 
581       139 8184696  0   1 1 
582       139 8184696  0   1 1 
583       139 8184696  0   1 1 
584       139 8184696  0   1 1 
585       139 8184696  0   1 1 
586       139 8184696  0   1 1 
587       139 8184696  0   1 1 
588       139 8184696  0   1 1 
589       139 8184696  0   1 1 
590       139 8184696  0   1 1 
591       139 8184696  0   1 1 
592       139 8184696  0   1 1 
593       139 8184696  0   1 1 
594       139 8184696  0   1 1 
595       139 8184696  0   1 1 
596       139 8184696  0   1 1 
597       139 8184696  0   1 1 
598       139 8184696  0   1 1 
599       139 8184696  0   1 1 
600       139 8184696  0   1 1 
601       139 8184696  0   1 1 
602       139 8184696  0   1 1 
603       139 8184696  0   1 1 
604       139 8184696  0   1 1 
605       139 8184696  0   1 1 
606       139 8184696  0   1 1 
607       139 8184696  0   1 1 
608       139 8184696  0   1 1 
609       139 8184696  0   1 1 
610       139 8184696  0   1 1 
611       139 8184696  0   1 1 
612       139 8184696  0   1 1 
613       139 8184696  0   1 1 
614       139 8184696  0   1 1 
615       139 8184696  0   1 1 
616       139 8184696  0   1 1 
617       139 8184696  0   1 1 
618       139 8184696  0   1 1 
619       139 8184696  0   1 1 
620       139 8184696  0   1 1 
621       139 8184696  0   1 1 
622       139 8184696  0   1 1 
623       139 8184696  0   1 1 
624       139 8184696  0   1 1 
625       139 8184696  0   1 1 
626       139 8184696  0   1 1 
627       139 8184696  0   1 1 
628       139 8184696  0   1 1 
629       139 8184696  0   1 1 
630       139 8184696  0   1 1 
631       139 8184696  0   1 1 
632       139 8184696  0   1 1 
633       139 8184696  0   1 1 
634       139 8184696  0   1 1 
635       139 8184696  0   1 1 
636       139 8184696  0   1 1 
637       139 8184696  0   1 1 
638       139 8184696  0   1 1 
639       139 8184696  0   1 1 
640       139 8184696  0   1 1 
641       139 8184696  0   1 1 
642       139 8184696  0   1 1 
643       139 8184696  0   1 1 
644       139 8184696  0   1 1 
645       139 8184696  0   1 1 
646       139 8184696  0   1 1 
647       139 8184696  0   1 1 
648       139 8184696  0   1 1 
649       139 8184696  0   1 1 
650       139 8184696  0   1 1 
651       139 8184696  0   1 1 
652       139 8184696  0   1 1 
653       139 8184696  0   1 1 
654       139 8184696  0   1 1 
655       139 8184696  0   1 1 
656       139 8184696  0   1 1 
657       139 8184696  0   1 1 
658       139 8184696  0   1 1 
659       139 8184696  0   1 1 
660       139 8184696  0   1 1 
661       139 8184696  0   1 1 
662       139 8184696  0   1 1 
663       139 8184696  0   1 1 
664       139 8184696  0   1 1 
665       139 8184696  0   1 1 
666       139 8184696  0   1 1 
667       139 8184696  0   1 1 
